Review_ID,Product_Category,Rating,Review_Date,Review_Text
1001,Beauty,4,2023-01-01,Best thing I've bought all year. Five stars!
1002,Sports,5,2023-01-02,Exceeded my expectations. Will definitely buy again.
1003,Home & Kitchen,3,2023-01-03,"It is exactly as described, neither great nor terrible."
1004,Sports,5,2023-01-04,Best thing I've bought all year. Five stars!
1005,Sports,3,2023-01-05,"It is exactly as described, neither great nor terrible."
1006,Clothing,1,2023-01-06,Very disappointed. The quality is incredibly poor.
1007,Home & Kitchen,5,2023-01-07,Great quality and fast shipping. Highly recommend.
1008,Home & Kitchen,1,2023-01-08,Terrible experience. The item broke after two days.
1009,Home & Kitchen,3,2023-01-09,Fairly standard product.
1010,Sports,5,2023-01-10,Very satisfied with my purchase. The material is great.
1011,Beauty,5,2023-01-11,
1012,Home & Kitchen,4,2023-01-12,
1013,Sports,4,2023-01-13,
1014,Clothing,3,2023-01-14,
1015,Beauty,3,2023-01-15,
1016,Clothing,3,2023-01-16,
1017,Beauty,4,2023-01-17,Best thing I've bought all year. Five stars!
1018,Sports,5,2023-01-18,Best thing I've bought all year. Five stars!
1019,Electronics,5,2023-01-19,"Absolutely love this product, it works perfectly!"
1020,Beauty,5,2023-01-20,Great quality and fast shipping. Highly recommend.
1021,Clothing,1,2023-01-21,Arrived damaged and late. I want a refund.
1022,Sports,4,2023-01-22,Very satisfied with my purchase. The material is great.
1023,Beauty,1,2023-01-23,Customer service was completely unhelpful. Do not buy.
1024,Electronics,4,2023-01-24,Very satisfied with my purchase. The material is great.
1025,Electronics,3,2023-01-25,Average quality for the price.
1026,Home & Kitchen,5,2023-01-26,Very satisfied with my purchase. The material is great.
1027,Home & Kitchen,3,2023-01-27,"It's okay, does the job but nothing special."
1028,Clothing,1,2023-01-28,Very disappointed. The quality is incredibly poor.
1029,Beauty,1,2023-01-29,Customer service was completely unhelpful. Do not buy.
1030,Beauty,5,2023-01-30,"Absolutely love this product, it works perfectly!"
1031,Home & Kitchen,4,2023-01-31,Great quality and fast shipping. Highly recommend.
1032,Beauty,1,2023-02-01,Customer service was completely unhelpful. Do not buy.
1033,Beauty,1,2023-02-02,Terrible experience. The item broke after two days.
1034,Electronics,5,2023-02-03,"Absolutely love this product, it works perfectly!"
1035,Home & Kitchen,1,2023-02-04,Very disappointed. The quality is incredibly poor.
1036,Sports,5,2023-02-05,Best thing I've bought all year. Five stars!
1037,Home & Kitchen,5,2023-02-06,"Absolutely love this product, it works perfectly!"
1038,Sports,1,2023-02-07,Terrible experience. The item broke after two days.
1039,Electronics,1,2023-02-08,Customer service was completely unhelpful. Do not buy.
1040,Clothing,5,2023-02-09,Very satisfied with my purchase. The material is great.
1041,Beauty,3,2023-02-10,Average quality for the price.
1042,Electronics,3,2023-02-11,Average quality for the price.
1043,Beauty,5,2023-02-12,Best thing I've bought all year. Five stars!
1044,Clothing,5,2023-02-13,Best thing I've bought all year. Five stars!
1045,Clothing,5,2023-02-14,Great quality and fast shipping. Highly recommend.
1046,Electronics,5,2023-02-15,Best thing I've bought all year. Five stars!
1047,Clothing,3,2023-02-16,"Not bad, but I've seen better."
1048,Sports,1,2023-02-17,Very disappointed. The quality is incredibly poor.
1049,Clothing,5,2023-02-18,Best thing I've bought all year. Five stars!
1050,Beauty,4,2023-02-19,Great quality and fast shipping. Highly recommend.
1051,Beauty,3,2023-02-20,"It is exactly as described, neither great nor terrible."
1052,Beauty,5,2023-02-21,"Absolutely love this product, it works perfectly!"
1053,Beauty,1,2023-02-22,Very disappointed. The quality is incredibly poor.
1054,Sports,4,2023-02-23,"Absolutely love this product, it works perfectly!"
1055,Home & Kitchen,1,2023-02-24,Arrived damaged and late. I want a refund.
1056,Electronics,4,2023-02-25,"Absolutely love this product, it works perfectly!"
1057,Beauty,1,2023-02-26,Very disappointed. The quality is incredibly poor.
1058,Clothing,1,2023-02-27,Waste of money. Doesn't work as advertised.
1059,Beauty,1,2023-02-28,Arrived damaged and late. I want a refund.
1060,Clothing,4,2023-03-01,Great quality and fast shipping. Highly recommend.
1061,Clothing,5,2023-03-02,Best thing I've bought all year. Five stars!
1062,Beauty,4,2023-03-03,Exceeded my expectations. Will definitely buy again.
1063,Sports,5,2023-03-04,"Absolutely love this product, it works perfectly!"
1064,Clothing,3,2023-03-05,"Not bad, but I've seen better."
1065,Clothing,3,2023-03-06,Average quality for the price.
1066,Beauty,5,2023-03-07,Very satisfied with my purchase. The material is great.
1067,Clothing,2,2023-03-08,Arrived damaged and late. I want a refund.
1068,Clothing,5,2023-03-09,"Absolutely love this product, it works perfectly!"
1069,Beauty,1,2023-03-10,Arrived damaged and late. I want a refund.
1070,Beauty,5,2023-03-11,Great quality and fast shipping. Highly recommend.
1071,Electronics,1,2023-03-12,Arrived damaged and late. I want a refund.
1072,Sports,5,2023-03-13,"Absolutely love this product, it works perfectly!"
1073,Sports,4,2023-03-14,Great quality and fast shipping. Highly recommend.
1074,Clothing,5,2023-03-15,Best thing I've bought all year. Five stars!
1075,Sports,1,2023-03-16,Waste of money. Doesn't work as advertised.
1076,Clothing,4,2023-03-17,Great quality and fast shipping. Highly recommend.
1077,Electronics,5,2023-03-18,Great quality and fast shipping. Highly recommend.
1078,Beauty,4,2023-03-19,Very satisfied with my purchase. The material is great.
1079,Beauty,4,2023-03-20,Exceeded my expectations. Will definitely buy again.
1080,Beauty,4,2023-03-21,"Absolutely love this product, it works perfectly!"
1081,Sports,4,2023-03-22,Exceeded my expectations. Will definitely buy again.
1082,Electronics,4,2023-03-23,Best thing I've bought all year. Five stars!
1083,Sports,4,2023-03-24,Very satisfied with my purchase. The material is great.
1084,Sports,5,2023-03-25,Exceeded my expectations. Will definitely buy again.
1085,Electronics,1,2023-03-26,Very disappointed. The quality is incredibly poor.
1086,Electronics,3,2023-03-27,Fairly standard product.
1087,Electronics,5,2023-03-28,Best thing I've bought all year. Five stars!
1088,Electronics,5,2023-03-29,Exceeded my expectations. Will definitely buy again.
1089,Beauty,4,2023-03-30,Exceeded my expectations. Will definitely buy again.
1090,Home & Kitchen,4,2023-03-31,Very satisfied with my purchase. The material is great.
1091,Home & Kitchen,3,2023-04-01,"It's okay, does the job but nothing special."
1092,Electronics,2,2023-04-02,Customer service was completely unhelpful. Do not buy.
1093,Home & Kitchen,4,2023-04-03,Exceeded my expectations. Will definitely buy again.
1094,Home & Kitchen,3,2023-04-04,Average quality for the price.
1095,Electronics,4,2023-04-05,Best thing I've bought all year. Five stars!
1096,Home & Kitchen,1,2023-04-06,Terrible experience. The item broke after two days.
1097,Sports,5,2023-04-07,Great quality and fast shipping. Highly recommend.
1098,Clothing,5,2023-04-08,Very satisfied with my purchase. The material is great.
1099,Clothing,4,2023-04-09,Very satisfied with my purchase. The material is great.
1100,Electronics,4,2023-04-10,Exceeded my expectations. Will definitely buy again.
1101,Beauty,3,2023-04-11,"Not bad, but I've seen better."
1102,Electronics,5,2023-04-12,Very satisfied with my purchase. The material is great.
1103,Beauty,4,2023-04-13,Exceeded my expectations. Will definitely buy again.
1104,Clothing,2,2023-04-14,Terrible experience. The item broke after two days.
1105,Electronics,5,2023-04-15,Exceeded my expectations. Will definitely buy again.
1106,Sports,5,2023-04-16,Best thing I've bought all year. Five stars!
1107,Home & Kitchen,5,2023-04-17,Exceeded my expectations. Will definitely buy again.
1108,Beauty,5,2023-04-18,Great quality and fast shipping. Highly recommend.
1109,Home & Kitchen,4,2023-04-19,"Absolutely love this product, it works perfectly!"
1110,Home & Kitchen,3,2023-04-20,Average quality for the price.
1111,Electronics,5,2023-04-21,Great quality and fast shipping. Highly recommend.
1112,Home & Kitchen,5,2023-04-22,Best thing I've bought all year. Five stars!
1113,Sports,1,2023-04-23,Terrible experience. The item broke after two days.
1114,Home & Kitchen,1,2023-04-24,Terrible experience. The item broke after two days.
1115,Electronics,3,2023-04-25,"It's okay, does the job but nothing special."
1116,Sports,5,2023-04-26,"Absolutely love this product, it works perfectly!"
1117,Clothing,5,2023-04-27,"Absolutely love this product, it works perfectly!"
1118,Home & Kitchen,2,2023-04-28,Arrived damaged and late. I want a refund.
1119,Electronics,4,2023-04-29,Exceeded my expectations. Will definitely buy again.
1120,Clothing,3,2023-04-30,Average quality for the price.
1121,Clothing,5,2023-05-01,"Absolutely love this product, it works perfectly!"
1122,Beauty,5,2023-05-02,Exceeded my expectations. Will definitely buy again.
1123,Sports,5,2023-05-03,Exceeded my expectations. Will definitely buy again.
1124,Home & Kitchen,4,2023-05-04,Great quality and fast shipping. Highly recommend.
1125,Electronics,3,2023-05-05,Fairly standard product.
1126,Beauty,3,2023-05-06,"It is exactly as described, neither great nor terrible."
1127,Sports,1,2023-05-07,Waste of money. Doesn't work as advertised.
1128,Beauty,5,2023-05-08,Exceeded my expectations. Will definitely buy again.
1129,Sports,5,2023-05-09,Great quality and fast shipping. Highly recommend.
1130,Sports,5,2023-05-10,Very satisfied with my purchase. The material is great.
1131,Home & Kitchen,5,2023-05-11,Exceeded my expectations. Will definitely buy again.
1132,Sports,4,2023-05-12,Best thing I've bought all year. Five stars!
1133,Beauty,5,2023-05-13,Very satisfied with my purchase. The material is great.
1134,Sports,5,2023-05-14,Exceeded my expectations. Will definitely buy again.
1135,Home & Kitchen,5,2023-05-15,Exceeded my expectations. Will definitely buy again.
1136,Home & Kitchen,2,2023-05-16,Terrible experience. The item broke after two days.
1137,Beauty,4,2023-05-17,Best thing I've bought all year. Five stars!
1138,Clothing,1,2023-05-18,Terrible experience. The item broke after two days.
1139,Clothing,5,2023-05-19,Great quality and fast shipping. Highly recommend.
1140,Sports,4,2023-05-20,"Absolutely love this product, it works perfectly!"
1141,Electronics,2,2023-05-21,Terrible experience. The item broke after two days.
1142,Sports,4,2023-05-22,Very satisfied with my purchase. The material is great.
1143,Beauty,4,2023-05-23,Exceeded my expectations. Will definitely buy again.
1144,Beauty,3,2023-05-24,Fairly standard product.
1145,Beauty,1,2023-05-25,Terrible experience. The item broke after two days.
1146,Beauty,4,2023-05-26,Best thing I've bought all year. Five stars!
1147,Beauty,4,2023-05-27,"Absolutely love this product, it works perfectly!"
1148,Home & Kitchen,5,2023-05-28,Great quality and fast shipping. Highly recommend.
1149,Clothing,4,2023-05-29,"Absolutely love this product, it works perfectly!"
